,age,gender,hourly_earnings,education,yearly_salary
1,30,male,34.61538315,16,69230.7663
2,30,female,19.23077011,16,38461.54022
3,30,female,13.73626328,12,27472.52656
4,30,female,13.94230747,13,27884.61494
5,30,female,19.23077011,16,38461.54022
6,30,female,8,12,16000
7,30,male,19.23077011,12,38461.54022
8,29,male,26.15384674,16,52307.69348
9,29,male,26.44230843,16,52884.61686
10,30,female,6.221719265,12,12443.43853
11,29,male,24.03846169,14,48076.92338
12,29,male,38.46154022,18,76923.08044
13,29,male,19.23077011,18,38461.54022
14,29,female,10.81730747,11,21634.61494
15,29,male,5.769230843,12,11538.46169
16,29,male,13.5,12,27000
17,30,male,12.98076916,16,25961.53832
18,30,male,35.47008514,13,70940.17028
19,30,male,18.75,16,37500
20,30,female,24.03846169,16,48076.92338
21,30,male,19.23077011,16,38461.54022
22,29,female,15,14,30000
23,29,male,8.791209221,12,17582.41844
24,29,male,7.692307472,13,15384.61494
25,30,male,11.53846169,12,23076.92338
26,29,male,28.84615326,13,57692.30652
27,29,male,19.18367386,14,38367.34772
28,30,male,16.82692337,12,33653.84674
29,29,female,24.29149818,16,48582.99636
30,30,female,10.2564106,16,20512.8212
31,30,male,14.42307663,12,28846.15326
32,30,male,12.98076916,13,25961.53832
33,29,female,10.1214571,12,20242.9142
34,29,male,17.30769157,13,34615.38314
35,30,male,9.615385056,13,19230.77011
36,29,female,21.97802162,16,43956.04324
37,29,male,17.30769157,16,34615.38314
38,30,female,5.769230843,16,11538.46169
39,29,male,16.82692337,14,33653.84674
40,29,female,14.42307663,13,28846.15326
41,30,male,17.78846169,12,35576.92338
42,30,female,32,18,64000
43,29,male,19.23077011,12,38461.54022
44,29,male,10,9,20000
45,30,male,10,9,20000
46,30,male,10,9,20000
47,30,female,7.142857075,14,14285.71415
48,30,male,18.75048065,16,37500.9613
49,29,female,10.57692337,16,21153.84674
50,29,female,7.692307472,9,15384.61494
51,29,female,17.03296661,16,34065.93322
52,29,male,23.07692337,18,46153.84674
53,30,male,14.42307663,12,28846.15326
54,30,male,14.42307663,16,28846.15326
55,30,male,6.25,11,12500
56,30,male,22.11538506,12,44230.77012
57,29,female,27.77777863,12,55555.55726
58,30,male,21.63461494,16,43269.22988
59,30,male,10.98901081,16,21978.02162
60,30,female,14.42307663,16,28846.15326
61,30,male,13.73626328,13,27472.52656
62,29,male,12.98076916,12,25961.53832
63,29,male,8.653845787,12,17307.69157
64,30,female,8.653845787,14,17307.69157
65,30,female,12.21955109,14,24439.10218
66,29,female,12.5,12,25000
67,30,female,14.19413948,16,28388.27896
68,30,female,21.63461494,16,43269.22988
69,30,female,6.730769157,12,13461.53831
70,30,female,17.36923027,14,34738.46054
71,29,female,12.01923084,12,24038.46168
72,30,male,16.82692337,13,33653.84674
73,29,male,53.98173141,12,107963.4628
74,29,male,9.615385056,12,19230.77011
75,30,female,14.42307663,18,28846.15326
76,30,male,16.82692337,13,33653.84674
77,29,female,40.06394196,18,80127.88392
78,29,male,28.84615326,16,57692.30652
79,29,female,30.28846169,16,60576.92338
80,30,female,9.615385056,14,19230.77011
81,29,female,11.53846169,14,23076.92338
82,30,male,21.63461494,12,43269.22988
83,30,female,15.38461494,12,30769.22988
84,29,male,29.9145298,16,59829.0596
85,30,female,14.92500019,13,29850.00038
86,30,male,14.42307663,14,28846.15326
87,30,male,11.21794891,13,22435.89782
88,30,female,28.63247871,18,57264.95742
89,29,male,19.23077011,18,38461.54022
90,30,female,19.23077011,16,38461.54022
91,29,female,11.05769253,13,22115.38506
92,29,female,11.53846169,16,23076.92338
93,30,male,31.25,12,62500
94,30,male,24.03846169,14,48076.92338
95,30,female,22.30769157,16,44615.38314
96,29,male,16.82692337,13,33653.84674
